timestamp,version,input_set,population,bits,generations,mutation_rate,seed,threads,run,elapsed_seconds,best_fitness
2026-09-17T15:02:30-03:00,paralelizado,grande,4000,2000,100,0.0005,42,16,3,0.298727,1575
2026-09-17T15:02:30-03:00,paralelizado,grande,4000,2000,100,0.0005,42,16,4,0.293023,1575
2026-09-17T15:02:30-03:00,paralelizado,grande,4000,2000,100,0.0005,42,16,5,0.292376,1575
2026-09-17T15:02:31-03:00,paralelizado,grande,4000,2000,100,0.0005,42,16,6,0.292157,1575
2026-09-17T15:02:31-03:00,paralelizado,grande,4000,2000,100,0.0005,42,16,7,0.292342,1575
2026-09-17T15:02:31-03:00,paralelizado,grande,4000,2000,100,0.0005,42,16,8,0.293188,1575
2026-09-17T15:02:31-03:00,paralelizado,grande,4000,2000,100,0.0005,42,16,9,0.292420,1575
2026-09-17T15:02:32-03:00,paralelizado,grande,4000,2000,100,0.0005,42,16,10,0.293905,1575
2026-09-17T15:02:32-03:00,paralelizado,grande,4000,2000,100,0.0005,42,20,1,0.241920,1575
2026-09-17T15:02:33-03:00,paralelizado,grande,4000,2000,100,0.0005,42,20,2,0.241652,1575
2026-09-17T15:02:33-03:00,paralelizado,grande,4000,2000,100,0.0005,42,20,3,0.241731,1575
2026-09-17T15:02:33-03:00,paralelizado,grande,4000,2000,100,0.0005,42,20,4,0.241975,1575
2026-09-17T15:02:33-03:00,paralelizado,grande,4000,2000,100,0.0005,42,20,5,0.241627,1575
2026-09-17T15:02:34-03:00,paralelizado,grande,4000,2000,100,0.0005,42,20,6,0.242762,1575
2026-09-17T15:02:34-03:00,paralelizado,grande,4000,2000,100,0.0005,42,20,7,0.252836,1575
2026-09-17T15:02:34-03:00,paralelizado,grande,4000,2000,100,0.0005,42,20,8,0.256304,1575
2026-09-17T15:02:34-03:00,paralelizado,grande,4000,2000,100,0.0005,42,20,9,0.242808,1575
2026-09-17T15:02:35-03:00,paralelizado,grande,4000,2000,100,0.0005,42,20,10,0.247172,1575
